manufacture,product_image,product_name,product_price,product_type
Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/337470/ramaraju_cotton_wool_400_gm_0.jpg,Ramaraju Cotton Wool 400 gm,Rs. 177.60,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804441/3m_tegaderm_transparent_film_1624w_0.jpg,3M Tegaderm Transparent Film (1624W),Rs. 45.03,Surgical
Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/405603/ramaraju_cotton_wool_25_gm_0.jpg,Ramaraju Cotton Wool 25 gm,Rs. 14.30,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804453/3m_soft_cloth_iv_sterile_dressing_8622in_0.jpg,3M Soft Cloth IV Sterile Dressing (8622IN),Rs. 19.27,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804450/3m_tegaderm_iv_transparent_film_1635in_0_1.jpg,3M Tegaderm IV Transparent Film (1635IN),Rs. 135.30,Surgical
Mfr: Romsons Scientific & Surgical Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/308888/romsons_vaccu_suck_suction_set_gs_5016_0.jpg,Romsons Vaccu Suck Suction Set GS 5016,Rs. 185.00,Surgical
Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/409793/ramaraju_cotton_wool_50_gm_0.jpg,Ramaraju Cotton Wool 50 gm,Rs. 26.40,Surgical
Mfr: Medipride,https://www.netmeds.com/images/product-v1/150x150/908049/soft_hands_non_sterile_latex_medical_examination_gloves_xs_100s_0_0.jpg,Soft Hands Non Sterile Latex Medical Examination Gloves (XS) 100's,Rs. 720.00,Surgical
Mfr: Kanam Latex Industries Private Limited,https://www.netmeds.com/images/product-v1/150x150/908592/surgicare_syntho_premium_nitrile_medical_examination_gloves_m_100s_0_0.jpg,Surgicare Syntho Premium Nitrile Medical Examination Gloves (M) 100's,"Rs. 1,392.00",Surgical
Mfr: Romsons Scientific & Surgical Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/368458/romsons_micro_infusion_set_0.jpg,Romsons Micro Infusion Set,Rs. 40.25,Surgical
Mfr: Unisoft Surgical Industries,https://www.netmeds.com/images/product-v1/150x150/15698/unisoft_domestic_gloves_0.jpg,Unisoft Domestic Gloves (M),Rs. 72.00,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/389981/dispovan_needle_23g_1_s_0.jpg,Dispovan Needle 23G 1's,Rs. 1.10,Surgical
Mfr: Aanand Product,https://www.netmeds.com/images/product-v1/150x150/805228/roller_bandage_7_5_cm_x_3_m_10_s_0.jpg,Roller Bandage (7.5 cm x 3 m) 10's,Rs. 84.36,Surgical
Mfr: Aanand Product,https://www.netmeds.com/images/product-v1/150x150/805229/roller_bandage_10_cm_x_3_m_10_s_0.jpg,Roller Bandage (10 cm x 3 m) 10's,Rs. 118.40,Surgical
Mfr: Adeshwar Meditex Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/805225/combidress_combine_dressing_pad_10_cm_x_20_cm_0.jpg,Combidress Combine Dressing Pad (10 cm x 20 cm),Rs. 45.60,Surgical
Mfr: Unisoft Surgical Industries,https://www.netmeds.com/images/product-v1/150x150/805223/unisoft_medical_examination_gloves_50_s_0.jpg,Unisoft Medical Examination Gloves 50's,Rs. 202.50,Surgical
Mfr: Equinox Overseas Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/816517/equinox_compressor_nebulizer_eq_nl_72_0.jpg,Equinox Compressor Nebulizer (EQ-NL-72),"Rs. 1,347.50",Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/315816/3m_micropore_tape_1_2_inch_0.jpg,3M Micropore Tape - 1/2 Inch,Rs. 20.91,Surgical
Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/409524/ramaraju_cotton_wool_200_gm_0.jpg,Ramaraju Cotton Wool 200 gm,Rs. 80.60,Surgical
Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/409525/ramaraju_cotton_wool_100_gm_0.jpg,Ramaraju Cotton Wool 100 gm,Rs. 50.16,Surgical
Mfr: Ansell,https://www.netmeds.com/images/product-v1/150x150/842198/ansell_micro_touch_disposable_gloves_n_150_medium_0.jpg,Ansell Micro Touch Disposable Gloves N-150 (Medium),Rs. 825.00,Surgical
Mfr: Ansell,https://www.netmeds.com/images/product-v1/150x150/842199/ansell_micro_touch_disposable_gloves_n_150_large_0.jpg,Ansell Micro Touch Disposable Gloves N-150 (Large),Rs. 780.00,Surgical
Mfr: Ansell,https://www.netmeds.com/images/product-v1/150x150/842194/ansell_micro_touch_disposable_gloves_n_30_s_0.jpg,Ansell Micro Touch Disposable Gloves N-30 (S),Rs. 255.60,Surgical
Mfr: Shenzhen Fengrunda Technology Co Ltd,https://www.netmeds.com/images/product-v1/150x150/909826/floh_infrared_non_contact_digital_thermometer_0_0.jpg,Floh Infrared Non-Contact Digital Thermometer,"Rs. 2,879.64",Devices
Mfr: Shri Jai Durge International,https://www.netmeds.com/images/product-v1/150x150/909959/gibson_non_contact_infrared_forehead_thermometer_0_1.jpg,Gibson Non Contact Infrared Forehead Thermometer,"Rs. 3,359.58",Devices
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902221/sahyog_wellness_multi_function_non_contact_body_object_infrared_thermometer_0_0.jpg,Sahyog Wellness Multi Function Non-Contact Body & Object Infrared Thermometer,"Rs. 2,069.77",Devices
Mfr: Medipride,https://www.netmeds.com/images/product-v1/150x150/908052/soft_hands_non_sterile_latex_medical_examination_gloves_s_100s_0_0.jpg,Soft Hands Non Sterile Latex Medical Examination Gloves (S) 100's,Rs. 648.00,Devices
Mfr: Canyearn,https://www.netmeds.com/images/product-v1/150x150/908302/canyearn_medical_infrared_thermometer_0_0.jpg,Canyearn Medical Infrared Thermometer,"Rs. 4,205.00",Devices
Mfr: Sanson Promo Innovations LLP,https://www.netmeds.com/images/product-v1/150x150/909048/disposable_3_ply_face_mask_30s_0_1.jpg,Disposable 3 Ply Face Mask with Nose Pin 30's,Rs. 408.00,Devices
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804474/3m_opticlude_orthoptic_eye_patches_1539_20s_0_1.jpg,3M Opticlude Orthoptic Eye Patches (1539) 20's,Rs. 367.50,Devices
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826348/1mile_disposable_3_ply_face_mask_blue_100_s_0.jpg,1Mile Disposable 3-Ply Face Mask - Blue 100's,"Rs. 1,000.00",Devices
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902227/sahyog_wellness_hot_water_bag_green_0_0.jpg,Sahyog Wellness Hot Water Bag - Green,Rs. 171.00,Devices
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902228/sahyog_wellness_hot_water_bag_blue_0_0.jpg,Sahyog Wellness Hot Water Bag - Blue,Rs. 171.00,Devices
