dam_images,discount_percent,discount_price,product_image,isAvailable,mrp,product_name,product_price,product_type
https://cdn01.pharmeasy.in/dam/products_otc/065718/elovera-imf-lotion-50ml-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/065718/elovera-imf-lotion-50ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,280.00,Elovera Imf Lotion 50ml,280.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I39525/herboglo-herbal-capsules-for-acne-pimples-radiant-glowing-skin-care-60-1.jpg,10,67.50,https://cdn01.pharmeasy.in/dam/products_otc/I39525/herboglo-herbal-capsules-for-acne-pimples-radiant-glowing-skin-care-60-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,675.00,Herboglo Herbal Capsules For Acne/pimples & Radiant Glowing Skin Care (60),607.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/F76768/highgrow-for-hair-growth-tablets-10-tablets-pack-of-3-1.jpg,20,114.00,https://cdn01.pharmeasy.in/dam/products_otc/F76768/highgrow-for-hair-growth-tablets-10-tablets-pack-of-3-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,570.00,Highgrow For Hair Growth Tablets - 10 Tablets (pack Of 3),456.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/192968/hima-ashvagandha-tab-60s-1.jpg,20,30.00,https://cdn01.pharmeasy.in/dam/products_otc/192968/hima-ashvagandha-tab-60s-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,150.00,Hima Ashvagandha Tab 60's,120.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/Z78444/fybogel-hi-fibre-isabgol-husk-powder-orange-100gm-1.jpg,5,7.75,https://cdn01.pharmeasy.in/dam/products_otc/Z78444/fybogel-hi-fibre-isabgol-husk-powder-orange-100gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,155.00,"Fybogel Hi-fibre Isabgol Husk Powder, Orange - 100gm",147.25,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/W46332/garnier-color-naturals-crme-hair-color-shade-1-natural-black-70ml-60g-1.jpg,5,9.00,https://cdn01.pharmeasy.in/dam/products_otc/W46332/garnier-color-naturals-crme-hair-color-shade-1-natural-black-70ml-60g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,180.00,"Garnier Color Naturals Crme Hair Color, Shade 1 Natural Black - 70ml + 60g",171.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/T23675/garnier-color-naturals-crme-hair-color-shade-3-darkest-brown-70ml-60g-1.jpg,5,9.00,https://cdn01.pharmeasy.in/dam/products_otc/T23675/garnier-color-naturals-crme-hair-color-shade-3-darkest-brown-70ml-60g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,180.00,"Garnier Color Naturals Crme Hair Color, Shade 3 Darkest Brown - 70ml + 60g",171.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/X86058/loreal-paris-total-repair-5-shampoo-640ml-1.jpg,5,22.50,https://cdn01.pharmeasy.in/dam/products_otc/X86058/loreal-paris-total-repair-5-shampoo-640ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,450.00,L'oreal Paris Total Repair 5 Shampoo - 640ml,427.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/G80381/boro-plus-aloe-gel-haldi-chandan-kesar-150ml-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/G80381/boro-plus-aloe-gel-haldi-chandan-kesar-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,110.00,Boro Plus Aloe Gel Haldi Chandan Kesar - 150ml,110.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/G67162/boro-plus-aloe-gel-haldi-chandan-kesar-60ml-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/G67162/boro-plus-aloe-gel-haldi-chandan-kesar-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,55.00,Boro Plus Aloe Gel Haldi Chandan Kesar - 60ml,55.00,Personal Care
